BOROCD,PUMA,BOROUGH_CD,CD NAME,Hispanic,White,Black,Asian,Other,White-only,Non-white,Majority,Poverty,Beds
201,PUMA 3710,Bronx CD 1,Melrose,68.8,18.4,35.9,1.2,46.1,1.7,98.3,Hispanic,42.8,944
202,PUMA 3710,Bronx CD 2,"Hunts Point, Longwood",68.8,18.4,35.9,1.2,46.1,1.7,98.3,Hispanic,42.8,649
203,PUMA 3705,Bronx CD 3,Crotona Park East,62.7,16.2,36.7,1.2,48.3,4.6,95.4,Hispanic,44,"1,105"
204,PUMA 3708,Bronx CD 4,"Concourse, Highbridge & Mount Eden",64.4,16.5,38.2,2,45.6,1.4,98.6,Hispanic,38,1704
205,PUMA 3707,Bronx CD 5,"Morris Heights, Fordham South & Mount Hope",68.1,13.5,35.3,1.7,51.9,1.5,98.5,Hispanic,41.6,1226
206,PUMA 3705,Bronx CD 6,"Belmont, East Tremont",62.7,16.2,36.7,1.2,48.3,4.6,95.4,Hispanic,44,1129
207,PUMA 3706,Bronx CD 7,"Bedford Park, Fordham North & Norwood",67,19.3,23.1,7.7,53.4,7.4,92.6,Hispanic,31.9,509
208,PUMA 3701,Bronx CD 8,"Riverdale, Fieldston & Kingsbridge",45.7,48.1,17.8,5.9,31.5,34.1,65.9,White,17.7,31
209,PUMA 3709,Bronx CD 9,"Castle Hill, Clason Point & Parkchester",57.6,20.7,38.3,8,37,2.5,97.5,Hispanic,28.2,433
210,PUMA 3703,Bronx CD 10,"Co-op City, Pelham Bay & Schuylerville",34.8,45.9,30.9,3.2,22.7,33.6,66.4,White,12.5,230
211,PUMA 3704,Bronx CD 11,"Pelham Parkway, Morris Park & Laconia",44.2,36,25.4,8.9,31.9,24.2,75.8,Hispanic,20.3,57
212,PUMA 3702,Bronx CD 12,"Wakefield, Williamsbridge & Woodlawn",22.5,12.3,70,2.8,16.6,7.1,92.9,Black,19.8,422
301,PUMA 4001,Brooklyn CD 1,Greenpoint & Williamsburg,24.4,78.9,6.4,7.1,9.2,63.5,36.5,White,27.1,644
