PUMA,BOROUGH,CD,CD NAME,Poverty %
PUMA 3701,Bronx,8,"Riverdale, Fieldston & Kingsbridge",17.7
PUMA 3702,Bronx,12,"Wakefield, Williamsbridge & Woodlawn",19.8
PUMA 3703,Bronx,10,"Co-op City, Pelham Bay & Schuylerville",12.5
PUMA 3704,Bronx,11,"Pelham Parkway, Morris Park & Laconia",20.3
PUMA 3705,Bronx,3,Crotona Park East,44
PUMA 3705,Bronx,6,"Belmont, East Tremont",44
PUMA 3706,Bronx,7,"Bedford Park, Fordham North & Norwood",31.9
PUMA 3707,Bronx,5,"Morris Heights, Fordham South & Mount Hope",41.6
PUMA 3708,Bronx,4,"Concourse, Highbridge & Mount Eden",38
PUMA 3709,Bronx,9,"Castle Hill, Clason Point & Parkchester",28.2
PUMA 3710,Bronx,1,Melrose,42.8
PUMA 3710,Bronx,2,"Hunts Point, Longwood",42.8
PUMA 3801,Manhattan,12,"Washington Heights, Inwood & Marble Hill",24.8
PUMA 3802,Manhattan,9,"Hamilton Heights, Manhattanville & West Harlem",27.9
PUMA 3803,Manhattan,10,Central Harlem,29.1
PUMA 3804,Manhattan,11,East Harlem,32.8
PUMA 3805,Manhattan,8,Upper East Side,7.2
PUMA 3806,Manhattan,7,Upper West Side & West Side,9.9
PUMA 3807,Manhattan,4,"Chelsea, Clinton",12.7
PUMA 3807,Manhattan,5,Midtown Business District,12.7
PUMA 3808,Manhattan,6,"Murray Hill, Gramercy & Stuyvesant Town",9.5
PUMA 3809,Manhattan,3,Chinatown & Lower East Side,25.1
PUMA 3810,Manhattan,1,Battery Park City,8
PUMA 3810,Manhattan,2,Greenwich Village & Soho,8
PUMA 3901,Staten Island,3,"Tottenville, Great Kills & Annadale",7.3
PUMA 3902,Staten Island,2,New Springville & South Beach,8.8
PUMA 3903,Staten Island,1,"Port Richmond, Stapleton & Mariner's Harbor",19.9
PUMA 4001,Brooklyn,1,Greenpoint & Williamsburg,27.1
PUMA 4002,Brooklyn,4,Bushwick,29.2
PUMA 4003,Brooklyn,3,Bedford-Stuyvesant,31.7
PUMA 4004,Brooklyn,2,Brooklyn Heights & Fort Greene,19.3
PUMA 4005,Brooklyn,6,"Park Slope, Carroll Gardens & Red Hook",10.2
PUMA 4006,Brooklyn,8,Crown Heights North & Prospect Heights,26
PUMA 4007,Brooklyn,16,Brownsville & Ocean Hill,37.2
PUMA 4008,Brooklyn,5,East New York & Starrett City,32.2
PUMA 4009,Brooklyn,18,Canarsie & Flatlands,12.1
PUMA 4010,Brooklyn,17,"East Flatbush, Farragut & Rugby",17.1
PUMA 4011,Brooklyn,9,"Crown Heights South, Prospect Lefferts & Wingate",22.6
PUMA 4012,Brooklyn,7,Sunset Park & Windsor Terrace,28.6
PUMA 4013,Brooklyn,10,Bay Ridge & Dyker Heights,16.7
PUMA 4014,Brooklyn,12,"Borough Park, Kensington & Ocean Parkway",32.5
PUMA 4015,Brooklyn,14,Flatbush & Midwood,21.5
PUMA 4016,Brooklyn,15,"Sheepshead Bay, Gerritsen Beach & Homecrest",16.3
PUMA 4017,Brooklyn,11,Bensonhurst & Bath Beach,17.5
PUMA 4018,Brooklyn,13,Brighton Beach & Coney Island,27.4
PUMA 4101,Queens,1,Astoria & Long Island City,17.8
PUMA 4102,Queens,3,Jackson Heights & North Corona,20.7
PUMA 4103,Queens,7,"Flushing, Murray Hill & Whitestone",15.5
PUMA 4104,Queens,11,"Bayside, Douglaston & Little Neck",7.9
PUMA 4105,Queens,13,"Queens Village, Cambria Heights & Rosedale",8.9
PUMA 4106,Queens,8,"Briarwood, Fresh Meadows & Hillcrest",15.4
PUMA 4107,Queens,4,Elmhurst & South Corona,21.8
PUMA 4108,Queens,6,Forest Hills & Rego Park,10.2
PUMA 4109,Queens,2,Sunnyside & Woodside,14.4
PUMA 4110,Queens,5,"Ridgewood, Glendale & Middle Village",14.7
PUMA 4111,Queens,9,Richmond Hill & Woodhaven,15.3
PUMA 4112,Queens,12,"Jamaica, Hollis & St. Albans",16.2
PUMA 4113,Queens,10,Howard Beach & Ozone Park,13.3
PUMA 4114,Queens,14,"Far Rockaway, Breezy Point & Broad Channel",20.2
