LOCATION,Hispanic or Latino (of any race),White,Black or African American,Asian,Some other race
"PUMA 3701: Bronx Community District 8--Riverdale, Fieldston & Kingsbridge",45.7%,48.1%,17.8%,5.9%,31.5%
"PUMA 3702: Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn",22.5%,12.3%,70.0%,2.8%,16.6%
"PUMA 3703: Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville",34.8%,45.9%,30.9%,3.2%,22.7%
"PUMA 3704: Bronx Community District 11--Pelham Parkway, Morris Park & Laconia",44.2%,36.0%,25.4%,8.9%,31.9%
"PUMA 3705: Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont",62.7%,16.2%,36.7%,1.2%,48.3%
"PUMA 3706: Bronx Community District 7--Bedford Park, Fordham North & Norwood",67.0%,19.3%,23.1%,7.7%,53.4%
"PUMA 3707: Bronx Community District 5--Morris Heights, Fordham South & Mount Hope",68.1%,13.5%,35.3%,1.7%,51.9%
"PUMA 3708: Bronx Community District 4--Concourse, Highbridge & Mount Eden",64.4%,16.5%,38.2%,2.0%,45.6%
"PUMA 3709: Bronx Community District 9--Castle Hill, Clason Point & Parkchester",57.6%,20.7%,38.3%,8.0%,37.0%
"PUMA 3710: Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose",68.8%,18.4%,35.9%,1.2%,46.1%
"PUMA 3801: Manhattan Community District 12--Washington Heights, Inwood & Marble Hill",70.8%,40.4%,15.6%,3.4%,44.4%
"PUMA 3802: Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem",38.5%,47.1%,36.2%,9.1%,17.0%
"PUMA 3807: Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District",14.7%,73.8%,7.5%,16.6%,4.8%
"PUMA 3808: Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town",8.5%,78.1%,4.5%,16.2%,3.1%
"PUMA 3810: Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho",6.9%,79.7%,3.5%,17.1%,2.5%
"PUMA 3901: Staten Island Community District 3--Tottenville, Great Kills & Annadale",10.1%,93.3%,1.8%,4.8%,0.9%
"PUMA 3903: Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor",29.0%,59.3%,26.2%,8.4%,9.0%
"PUMA 4005: Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook",19.40%,75.30%,9.30%,8.90%,11.00%
"PUMA 4010: Brooklyn Community District 17--East Flatbush, Farragut & Rugby",6.80%,3.20%,92.40%,1.70%,3.70%
"PUMA 4011: Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate",9.10%,20.00%,73.80%,2.70%,4.90%
"PUMA 4014: Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway",11.40%,75.80%,2.40%,15.00%,7.70%
"PUMA 4016: Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest",7.40%,77.30%,4.40%,16.80%,2.50%
"PUMA 4103: Queens Community District 7--Flushing, Murray Hill & Whitestone",16.9%,37.6%,3.1%,51.8%,9.5%
"PUMA 4104: Queens Community District 11--Bayside, Douglaston & Little Neck",11.7%,52.0%,3.0%,43.2%,4.2%
"PUMA 4105: Queens Community District 13--Queens Village, Cambria Heights & Rosedale",11.1%,19.0%,60.1%,16.9%,6.9%
"PUMA 4106: Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest",18.6%,43.2%,13.4%,35.6%,11.3%
"PUMA 4110: Queens Community District 5--Ridgewood, Glendale & Middle Village",35.7%,82.7%,2.6%,8.5%,7.4%
"PUMA 4112: Queens Community District 12--Jamaica, Hollis & St. Albans",19.0%,6.9%,68.2%,11.9%,16.4%
"PUMA 4114: Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel",22.8%,50.3%,40.2%,3.6%,7.8%
PUMA 3803: Manhattan Community District 10--Central Harlem,22.3%,19.8%,67.3%,4.4%,11.8%
PUMA 3804: Manhattan Community District 11--East Harlem,46.1%,30.5%,36.9%,8.3%,26.6%
PUMA 3805: Manhattan Community District 8--Upper East Side,7.9%,86.0%,4.0%,10.3%,1.6%
PUMA 3806: Manhattan Community District 7--Upper West Side & West Side,14.2%,78.5%,9.9%,10.2%,3.7%
PUMA 3809: Manhattan Community District 3--Chinatown & Lower East Side,24.6%,45.5%,9.4%,33.9%,14.1%
PUMA 3902: Staten Island Community District 2--New Springville & South Beach,12.3%,80.2%,4.8%,13.7%,2.3%
PUMA 4001: Brooklyn Community District 1--Greenpoint & Williamsburg,24.40%,78.90%,6.40%,7.10%,9.20%
PUMA 4002: Brooklyn Community District 4--Bushwick,64.80%,44.40%,28.00%,4.90%,24.70%
PUMA 4003: Brooklyn Community District 3--Bedford-Stuyvesant,19.40%,27.00%,63.30%,3.20%,8.10%
PUMA 4004: Brooklyn Community District 2--Brooklyn Heights & Fort Greene,17.00%,53.50%,31.20%,10.20%,9.40%
PUMA 4006: Brooklyn Community District 8--Crown Heights North & Prospect Heights,11.80%,23.20%,67.50%,4.80%,6.90%
PUMA 4007: Brooklyn Community District 16--Brownsville & Ocean Hill,20.50%,6.90%,81.90%,1.20%,10.90%
PUMA 4008: Brooklyn Community District 5--East New York & Starrett City,37.00%,25.70%,59.60%,4.00%,11.80%
PUMA 4009: Brooklyn Community District 18--Canarsie & Flatlands,8.20%,27.60%,64.60%,4.60%,4.00%
PUMA 4012: Brooklyn Community District 7--Sunset Park & Windsor Terrace,42.20%,38.50%,4.60%,32.60%,25.60%
PUMA 4013: Brooklyn Community District 10--Bay Ridge & Dyker Heights,14.50%,68.60%,2.70%,24.60%,5.70%
PUMA 4015: Brooklyn Community District 14--Flatbush & Midwood,14.30%,44.90%,35.40%,11.00%,10.40%
PUMA 4017: Brooklyn Community District 11--Bensonhurst & Bath Beach,13.70%,54.30%,1.40%,38.40%,6.70%
PUMA 4018: Brooklyn Community District 13--Brighton Beach & Coney Island,14.60%,67.30%,13.10%,14.80%,6.00%
PUMA 4101: Queens Community District 1--Astoria & Long Island City,28.6%,67.0%,9.1%,15.2%,10.9%
PUMA 4102: Queens Community District 3--Jackson Heights & North Corona,65.5%,46.5%,8.0%,18.2%,29.5%
PUMA 4107: Queens Community District 4--Elmhurst & South Corona,50.3%,42.6%,9.4%,34.0%,15.1%
PUMA 4108: Queens Community District 6--Forest Hills & Rego Park,14.9%,65.3%,3.5%,27.9%,4.9%
PUMA 4109: Queens Community District 2--Sunnyside & Woodside,33.2%,53.5%,3.0%,36.6%,8.8%
PUMA 4111: Queens Community District 9--Richmond Hill & Woodhaven,40.9%,39.6%,9.7%,28.3%,26.9%
PUMA 4113: Queens Community District 10--Howard Beach & Ozone Park,23.8%,36.6%,18.9%,22.6%,26.3%
