RegionID,RegionName,City,State,Metro,CountyName,SizeRank,2017-01
61639,10025,New York,NY,New York,New York,1,1366
84654,60657,Chicago,IL,Chicago,Cook,2,294
61637,10023,New York,NY,New York,New York,3,1691
84616,60614,Chicago,IL,Chicago,Cook,4,334
93144,79936,El Paso,TX,El Paso,El Paso,5,81
61616,10002,New York,NY,New York,New York,6,1423
84640,60640,Chicago,IL,Chicago,Cook,7,223
91733,77084,Houston,TX,Houston,Harris,8,83
97564,94109,San Francisco,CA,San Francisco,San Francisco,9,1088
90668,75070,McKinney,TX,Dallas-Fort Worth,Collin,10,127
62037,11226,New York,NY,New York,Kings,11,525
91940,77449,Cypress,TX,Houston,Harris,12,85
62087,11375,New York,NY,New York,Queens,13,571
71831,32162,The Villages,FL,The Villages,Sumter,14,159
62045,11235,New York,NY,New York,Kings,15,519
84646,60647,Chicago,IL,Chicago,Cook,16,286
74242,37211,Nashville,TN,Nashville,Davidson,17,134
96107,90250,Hawthorne,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,18,438
74101,37013,Nashville,TN,Nashville,Davidson,19,107
61623,10009,New York,NY,New York,New York,20,1478
84620,60618,Chicago,IL,Chicago,Cook,21,301
61643,10029,New York,NY,New York,New York,22,1048
61703,10128,New York,NY,New York,New York,23,1276
69816,28269,Charlotte,NC,Charlotte,Mecklenburg,24,94
71067,30349,Riverdale,GA,Atlanta,Clayton,25,61
93123,79912,El Paso,TX,El Paso,El Paso,26,90
96027,90046,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,27,791
97771,94565,Pittsburg,CA,San Francisco,Contra Costa,28,249
61802,10462,New York,NY,New York,Bronx,29,170
61796,10456,New York,NY,New York,Bronx,30,254
84615,60613,Chicago,IL,Chicago,Cook,31,245
92593,78660,Pflugerville,TX,Austin,Travis,32,110
90654,75052,Grand Prairie,TX,Dallas-Fort Worth,Dallas,33,94
66133,20009,Washington,DC,Washington,District of Columbia,34,630
66126,20002,Washington,DC,Washington,District of Columbia,35,505
66843,21234,Parkville,MD,Baltimore,Baltimore,36,152
86026,63376,Saint Peters,MO,St. Louis,Saint Charles,37,131
70829,30044,Lawrenceville,GA,Atlanta,Gwinnett,38,93
84630,60629,Chicago,IL,Chicago,Cook,39,140
84627,60625,Chicago,IL,Chicago,Cook,40,258
62017,11206,New York,NY,New York,Kings,41,385
62012,11201,New York,NY,New York,Kings,42,1158
92551,78613,Cedar Park,TX,Austin,Williamson,43,124
62023,11212,New York,NY,New York,Kings,44,319
74126,37042,Clarksville,TN,Clarksville,Montgomery,45,85
90823,75287,Dallas,TX,Dallas-Fort Worth,Dallas,46,146
61638,10024,New York,NY,New York,New York,47,1544
91922,77429,Cypress,TX,Houston,Harris,48,89
94748,85032,Phoenix,AZ,Phoenix,Maricopa,49,163
92271,78130,New Braunfels,TX,San Antonio,Comal,50,116
62025,11214,New York,NY,New York,Kings,51,536
92481,78521,Brownsville,TX,Brownsville,Cameron,52,59
70828,30043,Lawrenceville,GA,Atlanta,Gwinnett,53,98
70874,30096,Duluth,GA,Atlanta,Gwinnett,54,113
67732,23464,Virginia Beach,VA,Virginia Beach,Virginia Beach City,55,138
97711,94501,Alameda,CA,San Francisco,Alameda,56,593
60545,7030,Hoboken,NJ,New York,Hudson,57,715
84621,60619,Chicago,IL,Chicago,Cook,58,117
89925,73099,Yukon,OK,Oklahoma City,Canadian,59,92
97565,94110,San Francisco,CA,San Francisco,San Francisco,60,1026
69823,28277,Charlotte,NC,Charlotte,Mecklenburg,61,134
96015,90034,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,62,736
72463,33160,Sunny Isles Beach,FL,Miami-Fort Lauderdale,Miami-Dade,63,264
72442,33139,Miami Beach,FL,Miami-Fort Lauderdale,Miami-Dade,64,472
77007,44107,Lakewood,OH,Cleveland,Cuyahoga,65,102
91889,77379,Tomball,TX,Houston,Harris,66,83
62088,11377,New York,NY,New York,Queens,67,509
96025,90044,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,68,324
72578,33411,Royal Palm Beach,FL,Miami-Fort Lauderdale,Palm Beach,69,148
62044,11234,New York,NY,New York,Kings,70,396
96193,90650,Norwalk,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,71,360
96239,90805,Long Beach,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,72,360
62018,11207,New York,NY,New York,Kings,73,324
90665,75067,Lewisville,TX,Dallas-Fort Worth,Denton,74,123
84619,60617,Chicago,IL,Chicago,Cook,75,104
76953,44035,Elyria,OH,Cleveland,Lorain,76,70
67730,23462,Virginia Beach,VA,Virginia Beach,Virginia Beach City,77,127
65810,19143,Philadelphia,PA,Philadelphia,Philadelphia,78,54
79054,48197,Ypsilanti,MI,Ann Arbor,Washtenaw,79,106
92617,78704,Austin,TX,Austin,Travis,80,349
96990,92683,Westminster,CA,Los Angeles-Long Beach-Anaheim,Orange,81,407
61148,8701,Lakewood Township,NJ,New York,Ocean,82,155
95048,85710,Tucson,AZ,Tucson,Pima,83,102
62067,11355,New York,NY,New York,Queens,84,550
87074,66062,Olathe,KS,Kansas City,Johnson,85,124
92654,78745,Austin,TX,Austin,Travis,86,192
98325,95630,Folsom,CA,Sacramento,Sacramento,87,246
96545,91910,Chula Vista,CA,San Diego,San Diego,88,285
96007,90026,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,89,637
61790,10314,New York,NY,New York,Richmond,90,294
95306,87111,Albuquerque,NM,Albuquerque,Bernalillo,91,136
97764,94558,Napa,CA,Napa,Napa,92,384
62026,11215,New York,NY,New York,Kings,93,1043
99534,98052,Redmond,WA,Seattle,King,94,333
70810,30024,Suwanee,GA,Atlanta,Gwinnett,95,122
71864,32210,Jacksonville,FL,Jacksonville,Duval,96,79
60081,6010,Bristol,CT,Hartford,Hartford,97,129
62032,11221,New York,NY,New York,Kings,98,589
72363,33025,Miramar,FL,Miami-Fort Lauderdale,Broward,99,151
84612,60610,Chicago,IL,Chicago,Cook,100,330
71005,30281,Stockbridge,GA,Atlanta,Henry,101,76
95804,89108,Las Vegas,NV,Las Vegas,Clark,102,114
92336,78240,San Antonio,TX,San Antonio,Bexar,103,98
94820,85225,Chandler,AZ,Phoenix,Maricopa,104,146
91926,77433,Cypress,TX,Houston,Harris,105,88
58669,2169,Quincy,MA,Boston,Norfolk,106,292
72347,33009,Hallandale,FL,Miami-Fort Lauderdale,Broward,107,184
64180,15601,Greensburg,PA,Pittsburgh,Westmoreland,108,115
97431,93722,Fresno,CA,Fresno,Fresno,109,135
79040,48180,Taylor,MI,Detroit,Wayne,110,76
92341,78245,San Antonio,TX,San Antonio,Bexar,111,82
65133,17603,Lancaster,PA,Lancaster,Lancaster,112,105
98304,95608,Carmichael,CA,Sacramento,Sacramento,113,218
94890,85308,Glendale,AZ,Phoenix,Maricopa,114,141
97740,94533,Fairfield,CA,Vallejo,Solano,115,221
84613,60611,Chicago,IL,Chicago,Cook,116,334
76491,43055,Newark,OH,Columbus,Licking,117,81
63776,14850,Ithaca,NY,Ithaca,Tompkins,118,155
95309,87114,Albuquerque,NM,Albuquerque,Bernalillo,119,106
72362,33024,Pembroke Pines,FL,Miami-Fort Lauderdale,Broward,120,168
93203,80013,Aurora,CO,Denver,Arapahoe,121,203
66705,20906,Silver Spring,MD,Washington,Montgomery,122,214
74156,37075,Hendersonville,TN,Nashville,Sumner,123,120
62022,11211,New York,NY,New York,Kings,124,1038
96047,90066,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,125,830
62093,11385,New York,NY,New York,Queens,126,435
94870,85281,Tempe,AZ,Phoenix,Maricopa,127,168
76971,44060,Mentor,OH,Cleveland,Lake,128,98
76511,43081,Westerville,OH,Columbus,Franklin,129,115
69672,28027,Concord,NC,Charlotte,Cabarrus,130,105
94940,85364,Yuma,AZ,Yuma,Yuma,131,93
61169,8753,Toms River,NJ,New York,Ocean,132,159
96987,92677,Laguna Niguel,CA,Los Angeles-Long Beach-Anaheim,Orange,133,413
96467,91709,Chino Hills,CA,Riverside,San Bernardino,134,325
87019,65807,Springfield,MO,Springfield,Greene,135,78
84622,60620,Chicago,IL,Chicago,Cook,136,113
90637,75034,Frisco,TX,Dallas-Fort Worth,Collin,137,143
84635,60634,Chicago,IL,Chicago,Cook,138,212
98432,95823,Sacramento,CA,Sacramento,Sacramento,139,174
97023,92804,Anaheim,CA,Los Angeles-Long Beach-Anaheim,Orange,140,383
69340,27410,Greensboro,NC,,Guilford,141,104
60499,6902,Stamford,CT,Stamford,Fairfield,142,245
76534,43123,Grove City,OH,Columbus,Franklin,143,103
66135,20011,Washington,DC,Washington,District of Columbia,144,401
84285,60016,Des Plaines,IL,Chicago,Cook,145,175
96651,92109,San Diego,CA,San Diego,San Diego,146,549
77400,45011,Hamilton,OH,Cincinnati,Butler,147,97
84629,60628,Chicago,IL,Chicago,Cook,148,94
96000,90019,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,149,596
96546,91911,Chula Vista,CA,San Diego,San Diego,150,285
77094,44256,Medina,OH,Cleveland,Medina,151,110
91198,76028,Burleson,TX,Dallas-Fort Worth,Johnson,152,101
72901,33908,Fort Myers,FL,Fort Myers,Lee,153,157
58660,2148,Malden,MA,Boston,Middlesex,154,273
95817,89121,Las Vegas,NV,Las Vegas,Clark,155,99
72737,33647,Tampa,FL,Tampa,Hillsborough,156,115
95813,89117,Las Vegas,NV,Las Vegas,Clark,157,137
78823,47906,West Lafayette,IN,Lafayette-West Lafayette,Tippecanoe,158,92
96825,92345,Hesperia,CA,Riverside,San Bernardino,159,138
76539,43130,Lancaster,OH,Columbus,Fairfield,160,97
69849,28314,Fayetteville,NC,Fayetteville,Cumberland,161,72
97743,94536,Fremont,CA,San Francisco,Alameda,162,566
96882,92503,Riverside,CA,Riverside,Riverside,163,231
86717,65203,Columbia,MO,Columbia,Boone,164,97
60518,7002,Bayonne,NJ,New York,Hudson,165,173
65779,19111,Philadelphia,PA,Philadelphia,Philadelphia,166,119
96667,92126,San Diego,CA,San Diego,San Diego,167,361
69336,27406,Greensboro,NC,,Guilford,168,75
96477,91730,Rancho Cucamonga,CA,Riverside,San Bernardino,169,271
96083,90201,Bell,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,170,367
99142,97229,Cedar Mill,OR,Portland,Washington,171,243
70698,29732,Rock Hill,SC,Charlotte,York,172,97
69450,27610,Raleigh,NC,Raleigh,Wake,173,94
91325,76244,Fort Worth,TX,Dallas-Fort Worth,Tarrant,174,105
99563,98103,Seattle,WA,Seattle,King,175,464
61797,10457,New York,NY,New York,Bronx,176,248
67010,21740,Hagerstown,MD,Hagerstown,Washington,177,107
91744,77095,Houston,TX,Houston,Harris,178,88
72247,32822,Orlando,FL,Orlando,Orange,179,106
