PUMA,BOROUGH,CD,CD NAME,White alone
PUMA 3710,Bronx1 & 2,"Hunts Point, Longwood & Melrose",1.70%,
PUMA 3703,Bronx10,"Co-op City, Pelham Bay & Schuylerville",33.60%,
PUMA 3704,Bronx11,"Pelham Parkway, Morris Park & Laconia",24.20%,
PUMA 3702,Bronx12,"Wakefield, Williamsbridge & Woodlawn",7.10%,
PUMA 3705,Bronx3 & 6,"Belmont, Crotona Park East & East Tremont",4.60%,
PUMA 3708,Bronx4,"Concourse, Highbridge & Mount Eden",1.40%,
PUMA 3707,Bronx5,"Morris Heights, Fordham South & Mount Hope",1.50%,
PUMA 3706,Bronx7,"Bedford Park, Fordham North & Norwood",7.40%,
PUMA 3701,Bronx8,"Riverdale, Fieldston & Kingsbridge",34.10%,
PUMA 3709,Bronx9,"Castle Hill, Clason Point & Parkchester",2.50%,
PUMA 4001,Brooklyn1,Greenpoint & Williamsburg,63.50%,
PUMA 4013,Brooklyn10,Bay Ridge & Dyker Heights,58.80%,
PUMA 4017,Brooklyn11,Bensonhurst & Bath Beach,46.70%,
PUMA 4014,Brooklyn12,"Borough Park, Kensington & Ocean Parkway",71.10%,
PUMA 4018,Brooklyn13,Brighton Beach & Coney Island,58.40%,
PUMA 4015,Brooklyn14,Flatbush & Midwood,40.10%,
PUMA 4016,Brooklyn15,"Sheepshead Bay, Gerritsen Beach & Homecrest",71.70%,
PUMA 4007,Brooklyn16,Brownsville & Ocean Hill,1.40%,
PUMA 4010,Brooklyn17,"East Flatbush, Farragut & Rugby",1.50%,
PUMA 4009,Brooklyn18,Canarsie & Flatlands,24.00%,
PUMA 4004,Brooklyn2,Brooklyn Heights & Fort Greene,44.30%,
PUMA 4003,Brooklyn3,Bedford-Stuyvesant,18.70%,
PUMA 4002,Brooklyn4,Bushwick,11.80%,
PUMA 4008,Brooklyn5,East New York & Starrett City,4.70%,
PUMA 4005,Brooklyn6,"Park Slope, Carroll Gardens & Red Hook",63.40%,
PUMA 4012,Brooklyn7,Sunset Park & Windsor Terrace,21.80%,
PUMA 4006,Brooklyn8,Crown Heights North & Prospect Heights,19.00%,
PUMA 4011,Brooklyn9,"Crown Heights South, Prospect Lefferts & Wingate",17.20%,
PUMA 3810,Manhattan1 & 2,"Battery Park City, Greenwich Village & Soho",72.30%,
PUMA 3803,Manhattan10,Central Harlem,12.00%,
PUMA 3804,Manhattan11,East Harlem,13.90%,
PUMA 3801,Manhattan12,"Washington Heights, Inwood & Marble Hill",17.00%,
PUMA 3809,Manhattan3,Chinatown & Lower East Side,32.80%,
PUMA 3807,Manhattan4 & 5,"Chelsea, Clinton & Midtown Business District",61.90%,
PUMA 3808,Manhattan6,"Murray Hill, Gramercy & Stuyvesant Town",70.30%,
PUMA 3806,Manhattan7,Upper West Side & West Side,68.50%,
PUMA 3805,Manhattan8,Upper East Side,78.00%,
PUMA 3802,Manhattan9,"Hamilton Heights, Manhattanville & West Harlem",27.70%,
PUMA 4101,Queens1,Astoria & Long Island City,48.20%,
PUMA 4113,Queens10,Howard Beach & Ozone Park,23.50%,
PUMA 4104,Queens11,"Bayside, Douglaston & Little Neck",42.50%,
PUMA 4112,Queens12,"Jamaica, Hollis & St. Albans",1.70%,
PUMA 4105,Queens13,"Queens Village, Cambria Heights & Rosedale",12.50%,
PUMA 4114,Queens14,"Far Rockaway, Breezy Point & Broad Channel",35.80%,
PUMA 4109,Queens2,Sunnyside & Woodside,28.00%,
PUMA 4102,Queens3,Jackson Heights & North Corona,10.20%,
PUMA 4107,Queens4,Elmhurst & South Corona,7.10%,
PUMA 4110,Queens5,"Ridgewood, Glendale & Middle Village",54.10%,
PUMA 4108,Queens6,Forest Hills & Rego Park,53.70%,
PUMA 4103,Queens7,"Flushing, Murray Hill & Whitestone",28.20%,
PUMA 4106,Queens8,"Briarwood, Fresh Meadows & Hillcrest",32.80%,
PUMA 4111,Queens9,Richmond Hill & Woodhaven,18.50%,
PUMA 3903,Staten Island1,"Port Richmond, Stapleton & Mariner's Harbor",38.90%,
PUMA 3902,Staten Island2,New Springville & South Beach,69.80%,
PUMA 3901,Staten Island3,"Tottenville, Great Kills & Annadale",83.50%,
